Date,Close,Polarity,Prediction,Subjectivity,
04/12/2020,36.69,0.151903744,0,0.584037194,
06/12/2020,36.94,0.158793121,0,0.584234623,
07/12/2020,33.57,0.149187296,0,0.594979323,
10/12/2020,33.84,0.212568834,0,0.605991213,
11/12/2020,34.1,0.248230765,0,0.586919458,
12/12/2020,34.35,0.235625615,0,0.60301599,
13/12/2020,32.46,0.170861355,0,0.574230732,
14/12/2020,32.41,0.135252845,0,0.585613162,
17/12/2020,32.04,0.127878617,0,0.589040378,
18/12/2020,33.54,0.149196495,0,0.569382349,
19/12/2020,32.42,0.147138244,0,0.589412081,
20/12/2020,31.89,0.152636641,0,0.584553254,
21/12/2020,30.78,0.097446564,0,0.579607201,
24/12/2020,29.72,0.136134786,0,0.594858379,
26/12/2020,32.29,0.138236005,0,0.583014413,
27/12/2020,32.04,0.053842434,0,0.572907417,
28/12/2020,31.83,0.034071367,0,0.574176115,
31/12/2020,32.11,0.091387522,0,0.59543458,
02/01/2021,32.48,0.122563869,0,0.578274463,
03/01/2021,30.06,0.124729005,0,0.580420967,
04/01/2021,32.04,0.107195419,0,0.567709205,
07/01/2021,32.95,0.142610007,0,0.588472736,
08/01/2021,32.42,0.1623798,0,0.575613979,
09/01/2021,33.42,0.182216517,0,0.556523423,
10/01/2021,32.04,0.17800689,0,0.569848517,
11/01/2021,31.8,0.190036301,0,0.593745194,
14/01/2021,31.71,0.145291841,0,0.574602618,
15/01/2021,32.1,0.160810182,0,0.564312702,
16/01/2021,32.84,0.194174793,0,0.564875917,
17/01/2021,33.58,0.224259175,0,0.607085283,
18/01/2021,33.97,0.170636548,0,0.586837181,
22/01/2021,32.74,0.122059774,0,0.579248525,
23/01/2021,31.65,0.157203554,0,0.587864978,
24/01/2021,33.66,0.166044115,0,0.563472212,
25/01/2021,34.98,0.120045177,0,0.585882052,
28/01/2021,36.57,0.138811796,0,0.588627636,
29/01/2021,36.29,0.151795488,0,0.589141863,
30/01/2021,36.34,0.155692369,0,0.587323938,
31/01/2021,35.77,0.126730879,0,0.577931226,
01/02/2021,36.11,0.152832474,0,0.563250019,
04/02/2021,36.78,0.159422479,0,0.574975602,
05/02/2021,36.93,0.145071143,0,0.574686569,
06/02/2021,36.76,0.146763721,0,0.580045239,
07/02/2021,36.17,0.166735663,0,0.594693644,
08/02/2021,36,0.156483262,0,0.571314288,
11/02/2021,36.59,0.129468859,0,0.571203875,
12/02/2021,35.75,0.141153247,0,0.575770882,
13/02/2021,36.21,0.146969719,0,0.571815838,
14/02/2021,36.11,0.144955735,0,0.590177197,
15/02/2021,35.05,0.134268173,0,0.572831359,
19/02/2021,35.47,0.129336901,0,0.569393022,
20/02/2021,35.06,0.114712556,0,0.567230762,
21/02/2021,34.98,0.122725322,0,0.591925619,
22/02/2021,35.49,0.134987611,0,0.591721357,
25/02/2021,35.9,0.100078784,0,0.564202254,
26/02/2021,36.25,0.134141797,0,0.592714358,
27/02/2021,35.69,0.164432929,0,0.573932759,
28/02/2021,35.63,0.10586393,0,0.575618043,
01/03/2021,34.64,0.11619224,0,0.587241796,
04/03/2021,33.72,0.127476085,0,0.594455717,
05/03/2021,33.23,0.159989111,0,0.591655903,
06/03/2021,32.76,0.144841668,0,0.582699697,
07/03/2021,32.22,0.140774499,0,0.577626131,
08/03/2021,31.91,0.138509168,0,0.59303673,
11/03/2021,32.05,0.110233834,0,0.567865669,
12/03/2021,30.92,0.152444095,0,0.558289755,
13/03/2021,31.84,0.124815566,0,0.566455027,
14/03/2021,32.13,0.108672676,0,0.571446145,
15/03/2021,31.43,0.129301057,0,0.542968521,
18/03/2021,31.38,0.093002439,0,0.552110409,
19/03/2021,31.85,0.147909741,0,0.581189138,
20/03/2021,30.96,0.143508031,0,0.573927184,
21/03/2021,31.45,0.106685632,0,0.576276412,
22/03/2021,30.57,0.15240005,0,0.5798072,
25/03/2021,30.21,0.097519779,0,0.592353918,
26/03/2021,30.21,0.113935923,0,0.559747782,
27/03/2021,30.94,0,30.45,0,
28/03/2021,30.9,0,31.56,0,
29/03/2021,31.76,0,32.89,0,
01/04/2021,32.35,0,33.05,0,
02/04/2021,32.99,0,33.94,0,
